NAME;EVENT TYPE;COUNTRY;WEBSITE;EVENT DATE;COMMENT;EMAIL;Unnamed: 7;APPLIED 2023;APPLIED 2025;Unnamed: 10;Unnamed: 11;CONTACT PERSON;TOWN
HOPLA!;Festival;Belgium;https://www.hopla.brussels/;;;02 279 22 11;culture@brucity.be;1.0;1.0;;;;
Miramiro Summer Festival;Festival;Belgium;https://miramiro.be/en/festival/circus-cravings/;Juli;"Celine Verkest / 
Steven De Jonge";steven@miramiro.be celine@miramiro.be;;1.0;0.0;;;;
namur en mai;Festival;Belgium;namurenmai.org;mai;;;;1.0;0.0;;;;
Zomer Van Antwerpen;Fesrtival;Belgium;https://www.zva.be/2013/nl/programma/circus-zomerbar;;;programma@zva.be;;1.0;0.0;;;;
Chassepierre;Festival;Belgium;https://www.chassepierre.be/en;;;online;;1.0;1.0;;;;
Festival UP;Festival;Belgium;https://upupup.be/infos-pratiques/;;;info@upupup.be  artistes@upupup.be;;0.0;1.0;;;;
La piste aux espoirs;Festival;Belgium;http://www.lapisteauxespoirs.com/;März;;info@lapisteauxespoirs.com;;1.0;1.0;;;;
BITEF Festival;Festival;Serbia;https://festival.bitef.rs/en;september;;Ksenija Đurović ksenija.djurovic@bitef.rs;;1.0;1.0;;;;
Berlin lacht;Festival;Germany;https://berlin-lacht.de;;;ONLINE;;0.0;0.0;;;;
Sounddance Festival;Festival;Germany;https://opencall.soundance-festival.de/;;Contemporary Dance;info@soundance-festival.de;;0.0;0.0;;;;
Artlake;Festival;Germany;https://artlake-festival.de/;;Weird;booking@artlake-festival.de;;0.0;0.0;;;;
Theaterformen;Festival;Germany;https://www.theaterformen.de/news;;;welcome@theaterformen.de;ziemlich politisch/aktivist eigerichten;1.0;1.0;;;;
Brighton Festival;Festival;United Kingdom;https://brightonfestival.org;;;info@brightonfestival.org;;0.0;0.0;;;;
Spettacolo Brunnen;Festival;Switzerland;spettacolo-brunnen.ch/;;not accepting;artist@spettacolo-brunnen.ch;;0.0;0.0;;;;
Artistic Dance Festival;Festival;Bulgaria;http://antistaticfestival.org/en/;;;info@antistaticfestival.org;;1.0;0.0;;;;
Mini Art Festival;Festival;Bulgaria;https://en.miniartfest.com/;June;Geo Kalev / Galina Ryom-Røjbek;miniartfest@gmail.com;;1.0;1.0;;;;
Buskers Chur;Festival;Switzerland;https://buskers-chur.ch/info/;;;info@buskers-chur.ch;;1.0;1.0;;;;
Copenhagen Circus Festival;Festival;Denmark;https://www.kittjohnson.dk/english/contact;;;Sarah Garde x-act@kittjohnson.dk;;1.0;0.0;;;;
Dynamo Circus Festival;Festival;Denmark;https://dynamoworkspace.dk/festival/;;;for residencies:  gry@dynamoworkspace.dk   open stage: gry@dynamoworkspace.dk;Residency + Open Stage;1.0;0.0;;;;
